block,plot,loc,treatment,Factor ,Month ,Measure
1,1,A,cut+manure,Temp,Mar,18.2
1,1,B,control,Temp,Mar,18.3
1,1,C,cut,Temp,Mar,18.5
1,2,A,control,Temp,Mar,18.6
1,2,B,cut,Temp,Mar,18.6
1,2,C,cut+manure,Temp,Mar,18.7
1,3,A,cut,Temp,Mar,18.8
1,3,B,cut+manure,Temp,Mar,18.8
1,3,C,control,Temp,Mar,18.7
2,4,A,cut,Temp,Mar,19.0
2,4,B,control,Temp,Mar,18.8
2,4,C,cut+manure,Temp,Mar,18.7
2,5,A,cut+manure,Temp,Mar,18.5
2,5,B,cut,Temp,Mar,18.5
2,5,C,control,Temp,Mar,18.7
2,6,A,cut,Temp,Mar,18.7
2,6,B,cut+manure,Temp,Mar,18.7
2,6,C,control,Temp,Mar,18.7
3,7,A,cut,Temp,Mar,19.0
3,7,B,cut+manure,Temp,Mar,19.0
3,7,C,control,Temp,Mar,19.0
3,8,A,cut+manure,Temp,Mar,18.5
3,8,B,control,Temp,Mar,18.6
3,8,C,cut,Temp,Mar,18.7
3,9,A,cut+manure,Temp,Mar,18.7
3,9,B,cut,Temp,Mar,18.7
3,9,C,control,Temp,Mar,18.7
4,10,A,cut+manure,Temp,Mar,18.8
4,10,B,control,Temp,Mar,18.7
4,10,C,cut,Temp,Mar,18.7
4,11,A,cut+manure,Temp,Mar,18.5
4,11,B,control,Temp,Mar,18.5
4,11,C,cut,Temp,Mar,18.8
4,12,A,control,Temp,Mar,18.9
4,12,B,cut+manure,Temp,Mar,18.8
4,12,C,cut,Temp,Mar,18.8
5,13,A,cut,Temp,Mar,18.7
5,13,B,cut+manure,Temp,Mar,18.8
5,13,C,control,Temp,Mar,18.8
5,14,A,control,Temp,Mar,18.5
5,14,B,cut+manure,Temp,Mar,18.5
5,14,C,cut,Temp,Mar,18.5
5,15,A,control,Temp,Mar,18.6
5,15,B,cut,Temp,Mar,18.6
5,15,C,cut+manure,Temp,Mar,18.6
6,16,A,control,Temp,Mar,19.2
6,16,B,cut+manure,Temp,Mar,19.1
6,16,C,cut,Temp,Mar,19.0
6,17,A,cut+manure,Temp,Mar,19.0
6,17,B,control,Temp,Mar,19.2
6,17,C,cut,Temp,Mar,19.5
6,18,A,cut+manure,Temp,Mar,18.9
6,18,B,control,Temp,Mar,18.9
6,18,C,cut,Temp,Mar,19.2
7,19,A,cut+manure,Temp,Mar,18.8
7,19,B,control,Temp,Mar,18.9
7,19,C,cut,Temp,Mar,18.7
7,20,A,control,Temp,Mar,18.7
7,20,B,cut,Temp,Mar,19.0
7,20,C,cut+manure,Temp,Mar,19.1
7,21,A,cut,Temp,Mar,18.7
7,21,B,cut+manure,Temp,Mar,18.5
7,21,C,control,Temp,Mar,18.6
8,22,A,cut,Temp,Mar,18.8
8,22,B,control,Temp,Mar,19.0
8,22,C,cut+manure,Temp,Mar,18.8
8,23,A,cut+manure,Temp,Mar,18.3
8,23,B,control,Temp,Mar,18.5
8,23,C,cut,Temp,Mar,18.6
8,24,A,cut+manure,Temp,Mar,18.6
8,24,B,cut,Temp,Mar,18.6
8,24,C,control,Temp,Mar,18.6
1,1,A,cut+manure,Temp,April,18.5
1,1,B,control,Temp,April,17.8
1,1,C,cut,Temp,April,18.7
1,2,A,control,Temp,April,18.7
1,2,B,cut,Temp,April,19
1,2,C,cut+manure,Temp,April,19.3
1,3,A,cut,Temp,April,19.1
1,3,B,cut+manure,Temp,April,19.7
1,3,C,control,Temp,April,19.4
2,4,A,cut,Temp,April,19.1
2,4,B,control,Temp,April,19.5
2,4,C,cut+manure,Temp,April,19.3
2,5,A,cut+manure,Temp,April,18.2
2,5,B,cut,Temp,April,18.3
2,5,C,control,Temp,April,18.2
2,6,A,cut,Temp,April,18.2
2,6,B,cut+manure,Temp,April,18.4
2,6,C,control,Temp,April,18.6
3,7,A,cut,Temp,April,18.7
3,7,B,cut+manure,Temp,April,18.3
3,7,C,control,Temp,April,18.5
3,8,A,cut+manure,Temp,April,17.7
3,8,B,control,Temp,April,17.9
3,8,C,cut,Temp,April,18.8
3,9,A,cut+manure,Temp,April,18.7
3,9,B,cut,Temp,April,18.5
3,9,C,control,Temp,April,18.5
4,10,A,cut+manure,Temp,April,18.6
4,10,B,control,Temp,April,17.7
4,10,C,cut,Temp,April,18.1
4,11,A,cut+manure,Temp,April,17.7
4,11,B,control,Temp,April,17.2
4,11,C,cut,Temp,April,18.4
4,12,A,control,Temp,April,17.8
4,12,B,cut+manure,Temp,April,18
4,12,C,cut,Temp,April,18
5,13,A,cut,Temp,April,16.7
5,13,B,cut+manure,Temp,April,16.8
5,13,C,control,Temp,April,16.7
5,14,A,control,Temp,April,16.5
5,14,B,cut+manure,Temp,April,16.8
5,14,C,cut,Temp,April,17
5,15,A,control,Temp,April,16.6
5,15,B,cut,Temp,April,16.7
5,15,C,cut+manure,Temp,April,17.3
6,16,A,control,Temp,April,17.5
6,16,B,cut+manure,Temp,April,17.6
6,16,C,cut,Temp,April,17.6
6,17,A,cut+manure,Temp,April,16.7
6,17,B,control,Temp,April,17.1
6,17,C,cut,Temp,April,18.1
6,18,A,cut+manure,Temp,April,17.5
6,18,B,control,Temp,April,17.7
6,18,C,cut,Temp,April,17.8
7,19,A,cut+manure,Temp,April,17.4
7,19,B,control,Temp,April,17.3
7,19,C,cut,Temp,April,17.7
7,20,A,control,Temp,April,18
7,20,B,cut,Temp,April,18.1
7,20,C,cut+manure,Temp,April,18.8
7,21,A,cut,Temp,April,18.1
7,21,B,cut+manure,Temp,April,18.4
7,21,C,control,Temp,April,18.3
8,22,A,cut,Temp,April,18.7
8,22,B,control,Temp,April,18.7
8,22,C,cut+manure,Temp,April,18.7
8,23,A,cut+manure,Temp,April,17.9
8,23,B,control,Temp,April,17.3
8,23,C,cut,Temp,April,18
8,24,A,cut+manure,Temp,April,17.5
8,24,B,cut,Temp,April,18
8,24,C,control,Temp,April ,18.3
1,1,A,cut+manure,vwc,Mar,11.7
1,1,B,control,vwc,Mar,10.9
1,1,C,cut,vwc,Mar,9.9
1,2,A,control,vwc,Mar,11.7
1,2,B,cut,vwc,Mar,9.1
1,2,C,cut+manure,vwc,Mar,9.9
1,3,A,cut,vwc,Mar,8.5
1,3,B,cut+manure,vwc,Mar,8.5
1,3,C,control,vwc,Mar,10.7
2,4,A,cut,vwc,Mar,12.0
2,4,B,control,vwc,Mar,11.3
2,4,C,cut+manure,vwc,Mar,12.3
2,5,A,cut+manure,vwc,Mar,6.2
2,5,B,cut,vwc,Mar,11.0
2,5,C,control,vwc,Mar,8.9
2,6,A,cut,vwc,Mar,9.9
2,6,B,cut+manure,vwc,Mar,9.7
2,6,C,control,vwc,Mar,10.3
3,7,A,cut,vwc,Mar,8.3
3,7,B,cut+manure,vwc,Mar,10.6
3,7,C,control,vwc,Mar,9.1
3,8,A,cut+manure,vwc,Mar,9.9
3,8,B,control,vwc,Mar,9.5
3,8,C,cut,vwc,Mar,12.8
3,9,A,cut+manure,vwc,Mar,12.9
3,9,B,cut,vwc,Mar,11.2
3,9,C,control,vwc,Mar,11.6
4,10,A,cut+manure,vwc,Mar,15.8
4,10,B,control,vwc,Mar,15.1
4,10,C,cut,vwc,Mar,11.4
4,11,A,cut+manure,vwc,Mar,19.5
4,11,B,control,vwc,Mar,21.8
4,11,C,cut,vwc,Mar,18.3
4,12,A,control,vwc,Mar,16.7
4,12,B,cut+manure,vwc,Mar,15.8
4,12,C,cut,vwc,Mar,16.5
5,13,A,cut,vwc,Mar,9.1
5,13,B,cut+manure,vwc,Mar,9.7
5,13,C,control,vwc,Mar,9.4
5,14,A,control,vwc,Mar,6.7
5,14,B,cut+manure,vwc,Mar,10.2
5,14,C,cut,vwc,Mar,8.3
5,15,A,control,vwc,Mar,6.1
5,15,B,cut,vwc,Mar,7.0
5,15,C,cut+manure,vwc,Mar,7.2
6,16,A,control,vwc,Mar,13.6
6,16,B,cut+manure,vwc,Mar,11.9
6,16,C,cut,vwc,Mar,9.2
6,17,A,cut+manure,vwc,Mar,8.7
6,17,B,control,vwc,Mar,9.7
6,17,C,cut,vwc,Mar,10.2
6,18,A,cut+manure,vwc,Mar,9.7
6,18,B,control,vwc,Mar,10.4
6,18,C,cut,vwc,Mar,10.7
7,19,A,cut+manure,vwc,Mar,11.8
7,19,B,control,vwc,Mar,14.3
7,19,C,cut,vwc,Mar,13.3
7,20,A,control,vwc,Mar,9.9
7,20,B,cut,vwc,Mar,11.7
7,20,C,cut+manure,vwc,Mar,12.9
7,21,A,cut,vwc,Mar,12.3
7,21,B,cut+manure,vwc,Mar,11.9
7,21,C,control,vwc,Mar,12.1
8,22,A,cut,vwc,Mar,8.5
8,22,B,control,vwc,Mar,12.4
8,22,C,cut+manure,vwc,Mar,14.7
8,23,A,cut+manure,vwc,Mar,10.3
8,23,B,control,vwc,Mar,9.7
8,23,C,cut,vwc,Mar,11.2
8,24,A,cut+manure,vwc,Mar,10.5
8,24,B,cut,vwc,Mar,13.3
8,24,C,control,vwc,Mar,10.0
1,1,A,cut+manure,vwc,April,9.2
1,1,B,control,vwc,April,10.7
1,1,C,cut,vwc,April,9.5
1,2,A,control,vwc,April,10.4
1,2,B,cut,vwc,April,8.2
1,2,C,cut+manure,vwc,April,8.9
1,3,A,cut,vwc,April,7.6
1,3,B,cut+manure,vwc,April,7.7
1,3,C,control,vwc,April,9.3
2,4,A,cut,vwc,April,9.5
2,4,B,control,vwc,April,10.1
2,4,C,cut+manure,vwc,April,11.1
2,5,A,cut+manure,vwc,April,9.3
2,5,B,cut,vwc,April,9.5
2,5,C,control,vwc,April,8.4
2,6,A,cut,vwc,April,8.5
2,6,B,cut+manure,vwc,April,7.1
2,6,C,control,vwc,April,8.9
3,7,A,cut,vwc,April,9.1
3,7,B,cut+manure,vwc,April,7.9
3,7,C,control,vwc,April,8.1
3,8,A,cut+manure,vwc,April,9.2
3,8,B,control,vwc,April,6.6
3,8,C,cut,vwc,April,10.3
3,9,A,cut+manure,vwc,April,8.8
3,9,B,cut,vwc,April,8.9
3,9,C,control,vwc,April,9.1
4,10,A,cut+manure,vwc,April,11
4,10,B,control,vwc,April,10.5
4,10,C,cut,vwc,April,9.1
4,11,A,cut+manure,vwc,April,12.8
4,11,B,control,vwc,April,13.4
4,11,C,cut,vwc,April,12.2
4,12,A,control,vwc,April,11.8
4,12,B,cut+manure,vwc,April,10.1
4,12,C,cut,vwc,April,10.5
5,13,A,cut,vwc,April,8.8
5,13,B,cut+manure,vwc,April,8.9
5,13,C,control,vwc,April,10.1
5,14,A,control,vwc,April,6.7
5,14,B,cut+manure,vwc,April,7.9
5,14,C,cut,vwc,April,7.8
5,15,A,control,vwc,April,5.6
5,15,B,cut,vwc,April,6.4
5,15,C,cut+manure,vwc,April,6.4
6,16,A,control,vwc,April,6.9
6,16,B,cut+manure,vwc,April,11.2
6,16,C,cut,vwc,April,8.6
6,17,A,cut+manure,vwc,April,8.1
6,17,B,control,vwc,April,8.8
6,17,C,cut,vwc,April,8.8
6,18,A,cut+manure,vwc,April,9.1
6,18,B,control,vwc,April,7.6
6,18,C,cut,vwc,April,9.8
7,19,A,cut+manure,vwc,April,8.9
7,19,B,control,vwc,April,9.7
7,19,C,cut,vwc,April,9.7
7,20,A,control,vwc,April,6.7
7,20,B,cut,vwc,April,8.5
7,20,C,cut+manure,vwc,April,9.3
7,21,A,cut,vwc,April,10.9
7,21,B,cut+manure,vwc,April,9.5
7,21,C,control,vwc,April,9.7
8,22,A,cut,vwc,April,5.7
8,22,B,control,vwc,April,9.7
8,22,C,cut+manure,vwc,April,12.2
8,23,A,cut+manure,vwc,April,8.6
8,23,B,control,vwc,April,8.1
8,23,C,cut,vwc,April,9.3
8,24,A,cut+manure,vwc,April,7.6
8,24,B,cut,vwc,April,8.9
8,24,C,control,vwc,April,6.1
