plot,composition,treatment,tube,location,date,length_mm,proj_area_mm2,surf_area_mm2,avg_dia_mm,tot_vol_mm3,num_tips
2,bahia,control,1,1_4,2019.05.28,38.2277,13.1859,41.4247,10.5607,5.3,11
2,bahia,control,1,13_16,2019.05.28,25.9676,3.1224,9.8094,5.3084,0.401,10
2,bahia,control,1,17_20,2019.05.28,0.5069,0.0824,0.259,1.6261,0.011,1
2,bahia,control,1,21_24,2019.05.28,124.4095,51.9715,163.2731,12.6151,69.248,39
2,bahia,control,1,25_28,2019.05.28,139.1023,77.1304,242.3123,11.88,125.928,34
2,bahia,control,1,29_32,2019.05.28,63.8918,8.1958,25.7481,4.119,1.433,24
2,bahia,control,1,33_36,2019.05.28,35.6602,14.2824,44.8693,13.5147,4.804,5
2,bahia,control,1,41_44,2019.05.28,2.387,0.5822,1.8292,2.4392,0.112,1
2,bahia,control,1,5_8,2019.05.28,63.7369,20.6758,64.9548,8.6713,8.123,12
2,bahia,control,1,9_12,2019.05.28,27.5094,7.2319,22.7197,7.9892,1.761,8
2,bahia,cut,2,1_4,2019.05.28,49.3591,10.3959,32.6597,7.9232,2.264,10
2,bahia,cut,2,13_16,2019.05.28,0,0,0,0,0,0
2,bahia,cut,2,17_20,2019.05.28,41.0936,11.7447,36.897,5.5071,3.532,12
2,bahia,cut,2,21_24,2019.05.28,13.4782,3.1908,10.0242,2.3674,0.63,5
2,bahia,cut,2,25_28,2019.05.28,75.24,10.359,32.5438,3.7943,1.35,22
2,bahia,cut,2,29_32,2019.05.28,0,0,0,0,0,0
2,bahia,cut,2,33_36,2019.05.28,7.7319,3.3528,10.5332,4.3363,1.142,1
2,bahia,cut,2,37_40,2019.05.28,0,0,0,0,0,0
2,bahia,cut,2,41_44,2019.05.28,0,0,0,0,0,0
2,bahia,cut,2,5_8,2019.05.28,87.9357,40.199,126.2888,16.0196,19.017,18
2,bahia,cut,2,9_12,2019.05.28,83.5403,46.0771,144.7552,16.5493,27.027,19
2,bahia,cut+manure,3,1_4,2019.05.28,25.6549,6.9759,21.9153,2.7191,2.213,4
2,bahia,cut+manure,3,13_16,2019.05.28,73.8292,21.8039,68.499,11.866,7.807,28
2,bahia,cut+manure,3,17_20,2019.05.28,123.0549,37.4815,117.7517,12.2378,12.421,51
2,bahia,cut+manure,3,21_24,2019.05.28,21.6677,14.8529,46.6617,11.2825,10.077,3
2,bahia,cut+manure,3,25_28,2019.05.28,17.2416,9.7121,30.5116,10.309,4.627,2
2,bahia,cut+manure,3,29_32,2019.05.28,24.8219,5.8311,18.3189,5.0354,1.596,8
2,bahia,cut+manure,3,33_36,2019.05.28,128.9333,21.2362,66.7155,6.7966,3.686,47
2,bahia,cut+manure,3,37_40,2019.05.28,20.6158,2.9739,9.3426,3.0285,0.356,2
2,bahia,cut+manure,3,41_44,2019.05.28,111.4074,40.1687,126.1937,12.7819,15.079,17
2,bahia,cut+manure,3,5_8,2019.05.28,8.2654,2.1751,6.8335,5.3996,0.66,3
2,bahia,cut+manure,3,9_12,2019.05.28,26.1312,12.4582,39.1385,10.7853,5.892,6
4,mixed,cut,4,1_4,2019.05.31,81.4556,34.6416,108.8302,16.4489,18.333,15
4,mixed,cut,4,13_16,2019.05.31,32.5385,13.007,40.8626,9.9221,4.414,6
4,mixed,cut,4,17_20,2019.05.31,32.2495,26.8416,84.3256,18.1029,25.908,5
4,mixed,cut,4,21_24,2019.05.31,0,0,0,0,0,0
4,mixed,cut,4,25_28,2019.05.31,9.5755,1.8512,5.8158,5.9569,0.298,3
4,mixed,cut,4,29_32,2019.05.31,10.9931,6.5583,20.6036,5.9659,3.196,3
4,mixed,cut,4,33_36,2019.05.31,0,0,0,0,0,0
4,mixed,cut,4,37_40,2019.05.31,9.5686,3.9509,12.4121,4.129,1.533,5
4,mixed,cut,4,41_44,2019.05.31,82.4866,32.8608,103.2354,14.3461,14.18,24
4,mixed,cut,4,5_8,2019.05.31,93.1213,39.3415,123.5953,16.976,14.328,16
4,mixed,cut,4,9_12,2019.05.31,43.0891,23.8072,74.7925,11.5553,14.133,6
4,mixed,control,5,1_4,2019.05.31,33.9615,37.0237,116.3132,30.9013,36.813,4
4,mixed,control,5,13_16,2019.05.31,29.7713,11.4227,35.8854,7.5789,5.099,9
4,mixed,control,5,17_20,2019.05.31,18.3249,11.57,36.3481,18.7954,7.019,5
4,mixed,control,5,21_24,2019.05.31,0,0,0,0,0,0
4,mixed,control,5,25_28,2019.05.31,13.7397,3.7992,11.9355,4.2179,0.852,2
4,mixed,control,5,29_32,2019.05.31,21.7608,12.6914,39.8714,12.4294,7.873,5
4,mixed,control,5,33_36,2019.05.31,1.1452,0.9016,2.8326,7.8733,0.567,1
4,mixed,control,5,37_40,2019.05.31,0,0,0,0,0,0
4,mixed,control,5,41_44,2019.05.31,0,0,0,0,0,0
4,mixed,control,5,5_8,2019.05.31,106.038,21.3102,66.9479,8.158,4.144,38
4,mixed,control,5,9_12,2019.05.31,125.3625,42.2371,132.6916,13.9986,13.397,34
4,mixed,cut+manure,6,1_4,2019.05.31,106.6655,39.34,123.5901,11.1038,15.003,27
4,mixed,cut+manure,6,13_16,2019.05.31,100.1946,35.4453,111.3544,14.1003,10.539,23
4,mixed,cut+manure,6,17_20,2019.05.31,53.3624,19.6235,61.6492,14.59,5.998,8
4,mixed,cut+manure,6,21_24,2019.05.31,0,0,0,0,0,0
4,mixed,cut+manure,6,25_28,2019.05.31,29.991,12.882,40.47,19.3016,6.586,7
4,mixed,cut+manure,6,29_32,2019.05.31,35.8314,10.763,33.8129,10.2908,3.03,8
4,mixed,cut+manure,6,33_36,2019.05.31,40.5533,10.8032,33.9393,7.8731,2.337,9
4,mixed,cut+manure,6,37_40,2019.05.31,0,0,0,0,0,0
4,mixed,cut+manure,6,41_44,2019.05.31,54.5948,24.2537,76.1954,12.4512,9.075,11
4,mixed,cut+manure,6,5_8,2019.05.31,49.8541,24.5317,77.0688,16.6287,13.318,10
4,mixed,cut+manure,6,9_12,2019.05.31,70.1793,28.3186,88.9655,18.6641,11.585,12
9,mixed,cut+manure,7,1_4,2019.05.31,171.275,46.926,147.4228,17.5192,22.963,31
9,mixed,cut+manure,7,13_16,2019.05.31,42.8357,4.8598,15.2674,4.6666,0.755,6
9,mixed,cut+manure,7,17_20,2019.05.31,7.2055,0.5396,1.6953,1.2658,0.053,3
9,mixed,cut+manure,7,21_24,2019.05.31,0,0,0,0,0,0
9,mixed,cut+manure,7,25_28,2019.05.31,0,0,0,0,0,0
9,mixed,cut+manure,7,29_32,2019.05.31,2.3503,1.0169,3.1946,4.3265,0.358,2
9,mixed,cut+manure,7,33_36,2019.05.31,47.3039,14.0216,44.0501,11.1867,3.472,11
9,mixed,cut+manure,7,37_40,2019.05.31,44.1561,16.1462,50.7248,13.3437,5.031,10
9,mixed,cut+manure,7,41_44,2019.05.31,126.4588,56.6989,178.1249,16.841,23.421,23
9,mixed,cut+manure,7,5_8,2019.05.31,82.1408,78.9376,247.9898,34.7391,111.709,11
9,mixed,cut+manure,7,9_12,2019.05.31,32.7827,9.5126,29.8846,11.8191,3.706,8
9,mixed,cut,8,1_4,2019.05.31,84.0738,37.6029,118.1331,16.3981,17.445,18
9,mixed,cut,8,13_16,2019.05.31,11.7459,3.5868,11.2683,7.0029,1.062,4
9,mixed,cut,8,17_20,2019.05.31,11.6522,3.4932,10.9744,5.6547,1.102,5
9,mixed,cut,8,21_24,2019.05.31,0,0,0,0,0,0
9,mixed,cut,8,25_28,2019.05.31,36.1357,24.4881,76.9317,24.0265,14.728,9
9,mixed,cut,8,29_32,2019.05.31,34.4583,17.0965,53.7104,8.4715,7.389,5
9,mixed,cut,8,33_36,2019.05.31,41.9603,16.4611,51.7139,11.1871,5.503,7
9,mixed,cut,8,37_40,2019.05.31,37.3898,12.3091,38.6703,13.6087,3.364,10
9,mixed,cut,8,41_44,2019.05.31,15.5602,8.3573,26.2551,5.3709,3.754,3
9,mixed,cut,8,5_8,2019.05.31,28.5396,11.6499,36.5993,14.1731,3.826,4
9,mixed,cut,8,9_12,2019.05.31,2.6865,1.5649,4.9163,5.8251,0.729,1
9,mixed,control,9,1_4,2019.05.31,17.3649,9.0992,28.5859,22.1256,4.386,6
9,mixed,control,9,13_16,2019.05.31,7.3868,4.096,12.8679,5.545,1.833,1
9,mixed,control,9,17_20,2019.05.31,16.7474,2.4125,7.579,1.4405,0.314,3
9,mixed,control,9,21_24,2019.05.31,156.4624,78.7616,247.4368,17.5289,120.704,36
9,mixed,control,9,25_28,2019.05.31,9.2751,11.5262,36.2106,12.427,12.367,1
9,mixed,control,9,29_32,2019.05.31,16.7448,5.8233,18.2945,3.4777,1.67,4
9,mixed,control,9,33_36,2019.05.31,16.7331,5.0302,15.8028,9.0724,1.222,4
9,mixed,control,9,37_40,2019.05.31,112.5055,44.6609,140.3064,15.8867,15.472,21
9,mixed,control,9,41_44,2019.05.31,32.4326,13.3568,41.9614,17.6073,5.799,10
9,mixed,control,9,5_8,2019.05.31,5.7208,2.0766,6.524,6.2335,0.719,2
9,mixed,control,9,9_12,2019.05.31,4.698,2.0372,6.4001,4.3363,0.694,1
10,bahia,cut+manure,10,1_4,2019.05.31,8.9743,4.4632,14.0216,6.6536,2.11,3
10,bahia,cut+manure,10,13_16,2019.05.31,41.318,8.8701,27.8664,7.1643,1.596,6
10,bahia,cut+manure,10,17_20,2019.05.31,88.2317,28.8425,90.6119,13.4377,8.464,12
10,bahia,cut+manure,10,21_24,2019.05.31,3.9635,0.9088,2.8549,4.8784,0.166,2
10,bahia,cut+manure,10,25_28,2019.05.31,4.245,1.5632,4.9109,6.1498,0.488,2
10,bahia,cut+manure,10,29_32,2019.05.31,0,0,0,0,0,0
10,bahia,cut+manure,10,33_36,2019.05.31,17.7983,6.0197,18.9112,6.6234,1.695,6
10,bahia,cut+manure,10,37_40,2019.05.31,10.0632,3.3733,10.5976,3.3521,0.893,1
10,bahia,cut+manure,10,41_44,2019.05.31,29.2068,4.831,15.1772,3.8329,0.894,8
10,bahia,cut+manure,10,5_8,2019.05.31,0,0,0,0,0,0
10,bahia,cut+manure,10,9_12,2019.05.31,0,0,0,0,0,0
10,bahia,control,11,1_4,2019.05.31,61.911,25.0883,78.8175,16.7712,9.364,9
10,bahia,control,11,13_16,2019.05.31,17.0633,2.0138,6.3264,1.1802,0.196,8
10,bahia,control,11,17_20,2019.05.31,9.3047,5.3179,16.7065,5.7152,2.564,1
10,bahia,control,11,21_24,2019.05.31,0,0,0,0,0,0
10,bahia,control,11,25_28,2019.05.31,0,0,0,0,0,0
10,bahia,control,11,29_32,2019.05.31,79.3096,21.9386,68.9222,11.3808,6.778,37
10,bahia,control,11,33_36,2019.05.31,87.7794,25.8162,81.1041,8.7479,7.224,30
10,bahia,control,11,37_40,2019.05.31,38.1404,12.9601,40.7153,6.9129,3.998,17
10,bahia,control,11,41_44,2019.05.31,0,0,0,0,0,0
10,bahia,control,11,5_8,2019.05.31,12.7689,2.9812,9.3656,4.3286,0.602,3
10,bahia,control,11,9_12,2019.05.31,4.0592,1.7586,5.5249,9.2838,0.706,2
10,bahia,cut,12,1_4,2019.05.31,36.7178,13.2491,41.6235,10.5445,7.114,7
10,bahia,cut,12,13_16,2019.05.31,40.3314,13.7294,43.1321,12.7234,4.1,8
10,bahia,cut,12,17_20,2019.05.31,0,0,0,0,0,0
10,bahia,cut,12,21_24,2019.05.31,62.1629,16.5529,52.0024,8.355,4.041,15
10,bahia,cut,12,25_28,2019.05.31,60.7555,24.1546,75.8838,16.0966,8.226,8
10,bahia,cut,12,29_32,2019.05.31,17.5114,12.5138,39.3133,7.1461,8.307,2
10,bahia,cut,12,33_36,2019.05.31,0,0,0,0,0,0
10,bahia,cut,12,37_40,2019.05.31,0,0,0,0,0,0
10,bahia,cut,12,41_44,2019.05.31,0,0,0,0,0,0
10,bahia,cut,12,5_8,2019.05.31,118.1844,24.759,77.7827,8.5276,6.585,35
10,bahia,cut,12,9_12,2019.05.31,4.2615,1.1439,3.5936,5.3622,0.243,3
13,mixed,cut,13,1_4,2019.05.28,50.1246,16.531,51.9341,11.5129,4.842,10
13,mixed,cut,13,13_16,2019.05.28,62.4368,20.5349,64.5122,10.4551,7.078,26
13,mixed,cut,13,17_20,2019.05.28,16.7748,10.2793,32.2934,10.6704,5.051,2
13,mixed,cut,13,21_24,2019.05.28,0,0,0,0,0,0
13,mixed,cut,13,25_28,2019.05.28,1.2361,0.3015,0.9472,2.4392,0.058,1
13,mixed,cut,13,29_32,2019.05.28,84.0321,25.9643,81.5693,11.8887,6.685,18
13,mixed,cut,13,33_36,2019.05.28,72.7781,21.6639,68.0591,11.8174,5.618,22
13,mixed,cut,13,37_40,2019.05.28,5.2367,1.7031,5.3505,3.2522,0.435,1
13,mixed,cut,13,41_44,2019.05.28,12.3325,2.8963,9.0991,6.5987,0.54,3
13,mixed,cut,13,5_8,2019.05.28,26.3134,8.8818,27.9028,6.8547,2.794,5
13,mixed,cut,13,9_12,2019.05.28,17.7038,3.869,12.1549,4.7073,0.708,5
13,mixed,cut+manure,14,1_4,2019.05.28,55.9209,28.2498,88.7494,21.3079,15.342,12
13,mixed,cut+manure,14,13_16,2019.05.28,18.4118,10.5881,33.2635,9.8806,5.071,2
13,mixed,cut+manure,14,17_20,2019.05.28,13.8459,5.6716,17.8178,4.0962,1.849,1
13,mixed,cut+manure,14,21_24,2019.05.28,44.1502,9.9125,31.1411,4.4892,1.811,12
13,mixed,cut+manure,14,25_28,2019.05.28,39.1717,11.0638,34.758,9.923,2.851,8
13,mixed,cut+manure,14,29_32,2019.05.28,20.909,6.6268,20.8188,5.9621,1.713,3
13,mixed,cut+manure,14,33_36,2019.05.28,0,0,0,0,0,0
13,mixed,cut+manure,14,37_40,2019.05.28,114.8567,33.9487,106.6528,13.5845,8.534,48
13,mixed,cut+manure,14,41_44,2019.05.28,58.5401,17.2648,54.239,11.879,4.196,14
13,mixed,cut+manure,14,5_8,2019.05.28,6.5284,1.4009,4.4008,4.2979,0.237,2
13,mixed,cut+manure,14,9_12,2019.05.28,61.3212,25.2591,79.3536,12.079,10.085,12
13,mixed,control,15,1_4,2019.05.28,134.6303,178.2374,559.9494,37.538,304.652,28
13,mixed,control,15,13_16,2019.05.28,47.636,21.4007,67.2324,15.9479,10.147,8
13,mixed,control,15,17_20,2019.05.28,31.5356,25.1764,79.0939,15.9956,16.004,2
13,mixed,control,15,21_24,2019.05.28,0,0,0,0,0,0
13,mixed,control,15,25_28,2019.05.28,0,0,0,0,0,0
13,mixed,control,15,29_32,2019.05.28,4.0807,0.9331,2.9314,2.2866,0.171,1
13,mixed,control,15,33_36,2019.05.28,7.4907,1.5329,4.8156,4.1743,0.252,2
13,mixed,control,15,37_40,2019.05.28,0,0,0,0,0,0
13,mixed,control,15,41_44,2019.05.28,43.99,19.0987,60.0004,12.6333,6.935,9
13,mixed,control,15,5_8,2019.05.28,12.0259,2.5648,8.0577,4.1088,0.458,3
13,mixed,control,15,9_12,2019.05.28,21.0349,8.0456,25.2761,7.5975,2.643,2
18,bahia,cut+manure,16,45,2019.05.28,0,0,0,0,0,0
18,bahia,cut+manure,16,1_4,2019.05.28,29.5451,11.6136,36.4851,4.8427,4.405,8
18,bahia,cut+manure,16,13_16,2019.05.28,51.2881,74.0989,232.7889,56.5724,112.115,10
18,bahia,cut+manure,16,17_20,2019.05.28,27.703,56.7584,178.3117,43.9041,116.578,5
18,bahia,cut+manure,16,21_24,2019.05.28,9.6787,2.4772,7.7823,4.5739,0.596,4
18,bahia,cut+manure,16,25_28,2019.05.28,2.7155,1.1376,3.5739,8.3381,0.377,2
18,bahia,cut+manure,16,29_32,2019.05.28,13.7894,4.6063,14.4713,5.5028,1.328,2
18,bahia,cut+manure,16,33_36,2019.05.28,0,0,0,0,0,0
18,bahia,cut+manure,16,37_40,2019.05.28,12.6843,3.3487,10.5201,5.3164,0.715,4
18,bahia,cut+manure,16,41_44,2019.05.28,16.1203,5.9122,18.5738,3.6676,1.854,4
18,bahia,cut+manure,16,5_8,2019.05.28,37.0927,11.6686,36.6577,9.6014,3.177,5
18,bahia,cut+manure,16,9_12,2019.05.28,0.9659,0.3141,0.9869,3.2522,0.08,1
18,bahia,control,17,1_4,2019.05.28,77.131,40.9996,128.8041,20.9554,20.353,21
18,bahia,control,17,13_16,2019.05.28,28.692,17.2262,54.1178,11.9596,9.972,3
18,bahia,control,17,17_20,2019.05.28,0,0,0,0,0,0
18,bahia,control,17,21_24,2019.05.28,0,0,0,0,0,0
18,bahia,control,17,25_28,2019.05.28,0,0,0,0,0,0
18,bahia,control,17,29_32,2019.05.28,1.6846,0.4871,1.5303,2.8915,0.112,1
18,bahia,control,17,33_36,2019.05.28,0,0,0,0,0,0
18,bahia,control,17,37_40,2019.05.28,2.923,0.7922,2.4888,2.7102,0.169,1
18,bahia,control,17,41_44,2019.05.28,0,0,0,0,0,0
18,bahia,control,17,5_8,2019.05.28,11.8379,7.3909,23.2193,6.2434,3.771,2
18,bahia,control,17,9_12,2019.05.28,37.9623,20.1503,63.3039,16.1581,8.851,3
18,bahia,cut,18,1_4,2019.05.28,0,0,0,0,0,0
18,bahia,cut,18,13_16,2019.05.28,7.4374,1.4352,4.5088,1.9297,0.226,3
18,bahia,cut,18,17_20,2019.05.28,34.711,8.408,26.4146,7.7401,1.957,14
18,bahia,cut,18,21_24,2019.05.28,23.8524,8.0591,25.3184,9.9581,2.186,3
18,bahia,cut,18,25_28,2019.05.28,35.3242,16.5812,52.0916,15.2237,8.335,6
18,bahia,cut,18,29_32,2019.05.28,66.0739,30.2672,95.0872,12.9147,13.406,7
18,bahia,cut,18,33_36,2019.05.28,0,0,0,0,0,0
18,bahia,cut,18,37_40,2019.05.28,0,0,0,0,0,0
18,bahia,cut,18,41_44,2019.05.28,0,0,0,0,0,0
18,bahia,cut,18,5_8,2019.05.28,1.8565,0.3434,1.0787,1.8495,0.051,1
18,bahia,cut,18,9_12,2019.05.28,1.1602,0.2722,0.8551,2.346,0.05,1
20,bahia,control,19,1_4,2019.05.28,2.8408,1.432,4.4988,5.0409,0.578,1
20,bahia,control,19,13_16,2019.05.28,11.7621,2.2314,7.0102,1.8971,0.332,1
20,bahia,control,19,17_20,2019.05.28,69.1192,32.8472,103.1925,18.9428,19.411,14
20,bahia,control,19,21_24,2019.05.28,11.9795,8.058,25.3148,6.7264,5.039,2
20,bahia,control,19,25_28,2019.05.28,51.2819,11.4694,36.0323,4.5815,2.153,11
20,bahia,control,19,29_32,2019.05.28,15.8038,3.7367,11.739,4.0268,0.715,5
20,bahia,control,19,33_36,2019.05.28,6.897,3.0564,9.602,4.4315,1.075,1
20,bahia,control,19,37_40,2019.05.28,0,0,0,0,0,0
20,bahia,control,19,41_44,2019.05.28,12.7803,4.355,13.6818,3.4076,1.182,2
20,bahia,control,19,5_8,2019.05.28,3.7599,0.9171,2.8812,2.4392,0.176,1
20,bahia,control,19,9_12,2019.05.28,0,0,0,0,0,0
20,bahia,cut,20,1_4,2019.05.28,47.6253,24.4702,76.8756,26.8291,23.877,9
20,bahia,cut,20,13_16,2019.05.28,173.5631,80.2074,251.979,18.2107,46.427,67
20,bahia,cut,20,17_20,2019.05.28,0,0,0,0,0,0
20,bahia,cut,20,21_24,2019.05.28,0,0,0,0,0,0
20,bahia,cut,20,25_28,2019.05.28,81.0548,17.362,54.5442,6.5184,3.841,24
20,bahia,cut,20,29_32,2019.05.28,0.2162,0.0527,0.1657,2.4392,0.01,1
20,bahia,cut,20,33_36,2019.05.28,0,0,0,0,0,0
20,bahia,cut,20,37_40,2019.05.28,17.3859,11.4908,36.0995,10.2447,6.599,2
20,bahia,cut,20,41_44,2019.05.28,33.0512,8.0688,25.3488,2.4413,1.799,14
20,bahia,cut,20,5_8,2019.05.28,28.3389,7.1963,22.608,7.2887,1.554,5
20,bahia,cut,20,9_12,2019.05.28,14.6087,12.7279,39.9859,8.7126,10.058,2
20,bahia,cut+manure,21,1_4,2019.05.28,0,0,0,0,0,0
20,bahia,cut+manure,21,13_16,2019.05.28,101.6349,28.9725,91.0199,13.7235,7.95,17
20,bahia,cut+manure,21,17_20,2019.05.28,99.7091,23.7629,74.6534,4.4309,6.658,26
20,bahia,cut+manure,21,21_24,2019.05.28,17.3246,1.352,4.2473,1.3551,0.104,5
20,bahia,cut+manure,21,25_28,2019.05.28,4.826,0.3267,1.0262,1.0841,0.02,3
20,bahia,cut+manure,21,29_32,2019.05.28,0,0,0,0,0,0
20,bahia,cut+manure,21,33_36,2019.05.28,32.4444,13.3144,41.8283,11.216,4.523,8
20,bahia,cut+manure,21,37_40,2019.05.28,1.932,1.2855,4.0385,6.6536,0.693,1
20,bahia,cut+manure,21,41_44,2019.05.28,7.5972,2.187,6.8707,2.8787,0.562,2
20,bahia,cut+manure,21,5_8,2019.05.28,15.3758,5.4555,17.1388,10.535,1.87,5
20,bahia,cut+manure,21,9_12,2019.05.28,29.3897,8.5494,26.8586,5.8493,2.113,5
22,mixed,cut,22,1_4,2019.05.31,53.7339,23.6158,74.1914,16.929,10.879,13
22,mixed,cut,22,1_4,2019.05.31,53.7355,23.6169,74.1947,16.9292,10.88,13
22,mixed,cut,22,13_16,2019.05.31,10.8189,6.9115,21.713,11.0055,5.373,3
22,mixed,cut,22,13_16,2019.05.31,10.8189,6.9115,21.713,11.0055,5.373,3
22,mixed,cut,22,17_20,2019.05.31,0,0,0,0,0,0
22,mixed,cut,22,17_20,2019.05.31,0,0,0,0,0,0
22,mixed,cut,22,21_24,2019.05.31,15.033,7.3978,23.2411,14.8248,3.05,3
22,mixed,cut,22,21_24,2019.05.31,15.5368,7.6436,24.0133,14.7837,3.144,3
22,mixed,cut,22,25_28,2019.05.31,51.144,18.0837,56.8114,11.3495,5.496,15
22,mixed,cut,22,25_28,2019.05.31,51.144,18.0837,56.8114,11.3495,5.496,15
22,mixed,cut,22,29_32,2019.05.31,18.9757,5.0196,15.7695,6.1584,1.109,8
22,mixed,cut,22,29_32,2019.05.31,18.9757,5.0196,15.7695,6.1584,1.109,8
22,mixed,cut,22,33_36,2019.05.31,0,0,0,0,0,0
22,mixed,cut,22,33_36,2019.05.31,0,0,0,0,0,0
22,mixed,cut,22,37_40,2019.05.31,12.4171,3.3505,10.5257,2.6983,0.71,1
22,mixed,cut,22,37_40,2019.05.31,12.4171,3.3505,10.5257,2.6983,0.71,1
22,mixed,cut,22,41_44,2019.05.31,0,0,0,0,0,0
22,mixed,cut,22,41_44,2019.05.31,0,0,0,0,0,0
22,mixed,cut,22,5_8,2019.05.31,25.3429,5.2603,16.5258,4.1495,0.865,9
22,mixed,cut,22,5_8,2019.05.31,25.5222,5.2992,16.6479,4.1497,0.872,9
22,mixed,cut,22,9_12,2019.05.31,32.7303,17.7299,55.7002,10.8944,12.956,9
22,mixed,cut,22,9_12,2019.05.31,32.7303,17.7299,55.7002,10.8944,12.956,9
22,mixed,control,23,1_4,2019.05.31,50.1221,10.2178,32.1001,4.1876,1.934,13
22,mixed,control,23,1_4,2019.05.31,50.3803,10.2461,32.1889,4.1825,1.937,13
22,mixed,control,23,13_16,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,13_16,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,17_20,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,17_20,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,21_24,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,21_24,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,25_28,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,25_28,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,29_32,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,29_32,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,33_36,2019.05.31,10.0298,4.4337,13.929,8.7931,1.555,2
22,mixed,control,23,33_36,2019.05.31,10.0298,4.4337,13.929,8.7931,1.555,2
22,mixed,control,23,37_40,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,37_40,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,41_44,2019.05.31,5.0925,1.8576,5.8357,3.6477,0.543,2
22,mixed,control,23,41_44,2019.05.31,5.0925,1.8576,5.8357,3.6477,0.543,2
22,mixed,control,23,5_8,2019.05.31,44.1426,8.7714,27.5561,4.1081,1.491,8
22,mixed,control,23,5_8,2019.05.31,44.2073,8.7925,27.6223,4.1114,1.497,8
22,mixed,control,23,9_12,2019.05.31,0,0,0,0,0,0
22,mixed,control,23,9_12,2019.05.31,0,0,0,0,0,0
22,mixed,cut+manure,24,1_4,2019.05.31,65.4983,44.5137,139.8441,26.2843,31.894,14
22,mixed,cut+manure,24,1_4,2019.05.31,65.4983,44.5137,139.8441,26.2843,31.894,14
22,mixed,cut+manure,24,13_16,2019.05.31,2.1944,0.5353,1.6816,2.4392,0.103,1
22,mixed,cut+manure,24,13_16,2019.05.31,2.1944,0.5353,1.6816,2.4392,0.103,1
22,mixed,cut+manure,24,17_20,2019.05.31,0,0,0,0,0,0
22,mixed,cut+manure,24,17_20,2019.05.31,0,0,0,0,0,0
22,mixed,cut+manure,24,21_24,2019.05.31,1.7491,1.5766,4.953,9.0138,1.12,1
22,mixed,cut+manure,24,21_24,2019.05.31,1.7491,1.5766,4.953,9.0138,1.12,1
22,mixed,cut+manure,24,25_28,2019.05.31,0.3685,0.3096,0.9725,8.4016,0.204,1
22,mixed,cut+manure,24,25_28,2019.05.31,0.3685,0.3096,0.9725,8.4016,0.204,1
22,mixed,cut+manure,24,29_32,2019.05.31,1.3763,0.373,1.1718,2.7102,0.079,1
22,mixed,cut+manure,24,29_32,2019.05.31,1.3763,0.373,1.1718,2.7102,0.079,1
22,mixed,cut+manure,24,33_36,2019.05.31,29.8226,16.4718,51.7476,15.3155,7.696,8
22,mixed,cut+manure,24,33_36,2019.05.31,29.8226,16.4718,51.7476,15.3155,7.696,8
22,mixed,cut+manure,24,37_40,2019.05.31,0,0,0,0,0,0
22,mixed,cut+manure,24,37_40,2019.05.31,0,0,0,0,0,0
22,mixed,cut+manure,24,41_44,2019.05.31,101.8493,28.5479,89.6857,10.9209,7.661,35
22,mixed,cut+manure,24,41_44,2019.05.31,101.8493,28.5479,89.6857,10.9209,7.661,35
22,mixed,cut+manure,24,5_8,2019.05.31,56.2534,18.9631,59.5741,13.9174,5.416,11
22,mixed,cut+manure,24,5_8,2019.05.31,58.6844,19.4536,61.1152,13.8542,5.494,11
22,mixed,cut+manure,24,9_12,2019.05.31,26.6645,17.8994,56.2326,13.3912,10.016,8
22,mixed,cut+manure,24,9_12,2019.05.31,26.6645,17.8994,56.2326,13.3912,10.016,8
